title,text,label,text_length,title_length,num_words,num_sentences,label_numeric
Mga kabataan nagtanim ng puno sa tree planting activity,Mga kabataan nagtanim ng puno sa tree planting activity. Ito ay nakumpirma ng mga eksperto sa lugar. Ito ay nagpapakita ng pagkakaisa ng mga mamamayan.,REAL,151,55,25,3,1
Saging kayang gamutin ang lahat ng sakit ayon sa eksperto,Saging kayang gamutin ang lahat ng sakit ayon sa eksperto. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo. Ito ay nakumpirma ng mga eksperto sa lugar.,FAKE,163,57,26,3,0
BFP nagsagawa ng fire drill sa Quezon City,BFP nagsagawa ng fire drill sa Quezon City. Ito ay bahagi ng patuloy na programa ng pamahalaan. Nagpahayag ng suporta ang ilang opisyal ukol dito.,REAL,146,42,25,3,1
Libreng sakay sa mga estudyante ipapatupad simula Hulyo,Libreng sakay sa mga estudyante ipapatupad simula Hulyo. Ito ay nagpapakita ng pagkakaisa ng mga mamamayan. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo.,REAL,168,55,24,3,1
Mga kabataan nagtanim ng puno sa tree planting activity,Mga kabataan nagtanim ng puno sa tree planting activity. Isinasaalang-alang ng pamahalaan ang mga susunod na hakbang. Isinasaalang-alang ng pamahalaan ang mga susunod na hakbang.,REAL,178,55,25,3,1
Isang barangay biglang naglaho ayon sa ulat,Isang barangay biglang naglaho ayon sa ulat. Nagpahayag ng suporta ang ilang opisyal ukol dito. Ito ay bahagi ng patuloy na programa ng pamahalaan.,FAKE,147,43,24,3,0
"Pagtaas ng sahod ng guro, isinulong sa Kongreso","Pagtaas ng sahod ng guro, isinulong sa Kongreso. Ayon sa ulat, maraming residente ang nakasaksi sa pangyayari. Ito ay nakumpirma ng mga eksperto sa lugar.",REAL,154,47,25,3,1
"Dahon ng mangga, ginawang cellphone charger","Dahon ng mangga, ginawang cellphone charger. Ayon sa ulat, maraming residente ang nakasaksi sa pangyayari. Pinabulaanan ito ng ilang opisyal matapos ang imbestigasyon.",FAKE,167,43,23,3,0
DA: Sapat ang suplay ng bigas sa susunod na tatlong buwan,DA: Sapat ang suplay ng bigas sa susunod na tatlong buwan. Ang balitang ito ay mabilis na kumalat sa social media. Ito ay nakumpirma ng mga eksperto sa lugar.,REAL,158,57,29,3,1
Nagsalita ang estatwa ni Bonifacio sa gabi ng bagyo,Nagsalita ang estatwa ni Bonifacio sa gabi ng bagyo. Ito ay nakumpirma ng mga eksperto sa lugar. Isinasaalang-alang ng pamahalaan ang mga susunod na hakbang.,FAKE,157,51,25,3,0
DA: Sapat ang suplay ng bigas sa susunod na tatlong buwan,DA: Sapat ang suplay ng bigas sa susunod na tatlong buwan. Ito ay nagpapakita ng pagkakaisa ng mga mamamayan. Nagpahayag ng suporta ang ilang opisyal ukol dito.,REAL,160,57,27,3,1
PhilHealth naglunsad ng bagong online portal,PhilHealth naglunsad ng bagong online portal. Nagpahayag ng suporta ang ilang opisyal ukol dito. Ito ay nagpapakita ng pagkakaisa ng mga mamamayan.,REAL,147,44,22,3,1
Bayanihan spirit muling nasilayan sa panahon ng kalamidad,Bayanihan spirit muling nasilayan sa panahon ng kalamidad. Ito ay nakumpirma ng mga eksperto sa lugar. Ang balitang ito ay mabilis na kumalat sa social media.,REAL,158,57,26,3,1
Libreng sakay sa mga estudyante ipapatupad simula Hulyo,Libreng sakay sa mga estudyante ipapatupad simula Hulyo. Ang balitang ito ay mabilis na kumalat sa social media. Nagpahayag ng suporta ang ilang opisyal ukol dito.,REAL,163,55,26,3,1
"Lalaking uminom ng tubig ulan, gumaling sa cancer","Lalaking uminom ng tubig ulan, gumaling sa cancer. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo. Ito ay nakumpirma ng mga eksperto sa lugar.",FAKE,155,49,24,3,0
Bata nagpakita ng telekinetic powers sa paaralan,Bata nagpakita ng telekinetic powers sa paaralan. Ang balitang ito ay mabilis na kumalat sa social media. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo.,FAKE,166,48,25,3,0
Bata nagpakita ng telekinetic powers sa paaralan,Bata nagpakita ng telekinetic powers sa paaralan. Ang balitang ito ay mabilis na kumalat sa social media. Nagpahayag ng suporta ang ilang opisyal ukol dito.,FAKE,156,48,25,3,0
"Dahon ng mangga, ginawang cellphone charger","Dahon ng mangga, ginawang cellphone charger. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo.",FAKE,166,43,22,3,0
